R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Calvin Kattar,Giga Chikadze,,,,,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,5,0,7,0,4.05,0.42,0.3,0.26,0.33,7,1,20,0,0,2,2,3,0,0,7,Orthodox,182.88,187.96,145,1,0,0,5.19,0.41,0.1,0.51,0.29,2,3,26,0,0,0,2,4,0,0,6,Orthodox,180.34,182.88,145,33,33,-1,7,5,1,-2,-6,0,-1,0,2.539999999999992,5.0800000000000125,0,-1.1400000000000006,0.1999999999999999,-0.25,1,1,10.0,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,10.0,,,,Red,U-DEC,,5,5:00,1500,,,,,,
Jake Collier,Chase Sherman,-140,+120,71.42857142857143,+120,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,2,0,0,6.19,0.45,0.0,0.0,0.0,2,7,25,0,0,0,1,2,0,0,3,Orthodox,193.04,198.12,250,1,0,0,5.59,0.42,0.5,0.62,0.26,1,5,21,0,0,1,2,1,0,0,4,Orthodox,190.5,198.12,230,33,32,1,0,1,-1,2,4,0,1,0,2.539999999999992,0.0,-1,0.6000000000000005,-0.5,-0.62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:26,146,+150,+333,+1000,+1800,+400,+300
Brandon Royval,Rogerio Bontorin,-160,+135,62.5,+135,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,2,0,0,2.63,0.52,1.0,2.9,0.6,3,2,13,0,0,1,0,1,1,0,3,Orthodox,165.1,170.18,125,2,0,0,3.16,0.36,2.2,0.73,1.0,2,2,7,0,0,0,0,0,2,0,2,Southpaw,175.26,172.72,125,29,29,0,0,1,1,0,6,0,1,-1,-10.159999999999997,-2.539999999999992,0,-0.5300000000000002,-1.2000000000000002,2.17,1,1,8.0,6.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,8.0,,Red,S-DEC,,3,5:00,900,+450,+350,+180,+600,+450,+600
Katlyn Chookagian,Jennifer Maia,-230,+190,43.47826086956522,+190,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,3.76,0.37,0.1,0.25,0.33,2,3,21,1,0,0,3,0,1,0,4,Orthodox,162.56,162.56,125,0,2,0,4.59,0.35,0.4,0.31,0.16,3,4,37,1,0,1,8,0,0,0,9,Orthodox,175.26,172.72,125,33,33,0,-1,-1,-5,-1,-16,0,0,1,-12.699999999999989,-10.159999999999997,0,-0.8300000000000001,-0.3,-0.06,1,1,4.0,2.0,2.0,,,,,,,,,,,,11.0,4.0,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-120,+260,+1200,+1200,+800,+900
Dakota Bush,Viacheslav Borshchev,+175,-210,+175,47.61904761904761,2022-01-15,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,6.16,0.64,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,180.34,175.26,155,1,0,0,2.77,0.38,0.0,2.4,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,27,30,-1,1,1,1,-1,-1,0,1,0,2.539999999999992,-10.160000000000023,3,3.39,0.0,-2.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:47,227,+300,+350,+400,+2000,+750,+110
Bill Algeo,Joanderson Brito,+145,-170,+145,58.82352941176471,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.33,0.47,0.0,2.98,0.62,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,182.88,145,1,0,0,5.88,0.53,0.0,0.8,0.44,1,3,12,0,0,0,1,0,0,0,1,Switch,182.88,185.42,145,32,26,-1,1,0,0,-3,-9,0,0,0,-10.159999999999997,-2.5400000000000205,-6,-2.55,0.0,2.18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+275,+175,+650,+500,+500,+525
Jamie Pickett,Joseph Holmes,+120,-140,+120,71.42857142857143,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,2.77,0.48,0.7,1.32,0.28,1,0,2,0,0,0,0,0,1,0,1,Orthodox,193.04,203.2,185,0,1,0,3.02,0.5,0.2,1.68,0.5,1,4,13,0,0,0,1,1,0,0,2,Orthodox,187.96,203.2,185,33,26,0,0,0,-1,-4,-11,0,-1,1,5.079999999999984,0.0,-7,-0.25,0.4999999999999999,-0.3599999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+300,+350,+1200,+275,+400,+450
Court McGee,Ramiz Brahimaj,+105,-125,+105,80.0,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,2.64,0.41,1.0,1.52,0.6,1,1,4,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,170,0,1,0,4.69,0.37,0.5,1.87,0.25,3,9,51,0,0,1,6,0,2,0,9,Orthodox,180.34,190.5,170,37,29,0,0,-2,-8,-8,-47,0,0,-1,-2.539999999999992,-7.620000000000003,-8,-2.0500000000000003,0.5,-0.3500000000000001,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+150,+225,+800,+400,+500,+1000
Brian Kelleher,Kevin Croom,,+290,,+290,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,2.65,0.35,0.5,0.49,0.05,0,1,4,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,0,1,0,3.49,0.41,0.8,1.87,0.42,2,5,25,0,0,0,2,2,3,0,7,Switch,167.64,167.64,135,35,34,1,-1,-2,-7,-4,-21,0,-2,-3,12.699999999999989,17.78,-1,-0.8400000000000003,-0.3,-1.38,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+200,+550,+180,+900,+450,+600
TJ Brown,Charles Rosa,,+180,,+180,2022-01-15,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,3.05,0.36,1.0,1.64,0.37,1,6,31,0,0,2,1,0,2,0,5,Switch,175.26,175.26,145,0,1,0,3.87,0.43,1.1,4.5,0.62,1,2,11,0,0,1,0,0,1,0,2,Switch,175.26,182.88,145,31,35,1,-1,0,3,4,20,0,0,1,0.0,-7.620000000000003,4,-0.8200000000000003,-0.1,-2.8600000000000003,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+110,+300,+700,+700,+400,+1200
