R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Marlon Vera,Dominick Cruz,-240,200,41.6666666667,200,2022-08-13,"San Diego, California, USA",USA,,False,Bantamweight,MALE,5,0,2,0,3.82,0.33,0.1,2.88,0.43,12,3,59,6,0,3,9,2,0,0,14,Orthodox,172.72,172.72,135,0,3,0,4.33,0.51,1.1,0.73,0.42,5,6,49,0,0,0,3,6,4,0,13,Switch,172.72,177.8,135,29,37,0,-1,7,1,-3,10,6,-4,-4,0,-5.08,8,-0.51,-1,2.15,1,1,9,13,,,,,,,,,,,13,,,,,,,,,,,,,9,,,Blue,,,,,,140,270,650,2800,320,900
Nate Landwehr,David Onama,270,-340,270,29.4117647059,2022-08-13,"San Diego, California, USA",USA,,False,Featherweight,MALE,3,0,2,0,5.61,0.48,0.5,1.09,0.22,2,1,6,0,0,0,0,1,1,0,2,Orthodox,180.34,187.96,145,0,1,0,6.51,0.52,1,0.48,0.5,1,2,8,0,0,0,1,0,1,0,2,Orthodox,175.26,182.88,145,34,28,0,1,1,0,-1,-2,0,1,0,5.08,5.08,-6,-0.9,-0.5,0.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,550,260,1600,550,600,130
Yazmin Jauregui,Iasmin Lucindo,-210,175,47.619047619,175,2022-08-13,"San Diego, California, USA",USA,,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,167.64,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,115,23,20,0,0,0,0,0,0,0,0,0,0,5.08,-3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,140,320,1200,1600,250,700
Devin Clark,Azamat Murzakanov,140,-165,140,60.6060606061,2022-08-13,"San Diego, California, USA",USA,,False,Light Heavyweight,MALE,3,0,2,0,2.69,0.43,0,1.09,0.16,2,0,4,0,0,0,0,2,0,0,2,Southpaw,177.8,180.34,205,0,1,0,3.08,0.57,0.1,2.48,0.35,2,6,31,0,0,0,6,1,0,0,7,Orthodox,182.88,190.5,205,32,33,0,1,0,-5,-6,-27,0,1,0,-5.08,-10.16,1,-0.39,-0.1,-1.39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,280,380,1200,800,550,150
Priscila Cachoeira,Ariane Lipski,160,-190,160,52.6315789474,2022-08-13,"San Diego, California, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,1,0,3.33,0.36,0.4,0.19,0.2,2,4,17,0,0,0,2,0,1,0,3,Orthodox,167.64,170.18,125,0,1,0,4.46,0.43,0,0.21,0.33,2,4,15,0,0,0,1,2,0,0,3,Orthodox,170.18,165.1,125,33,28,0,0,0,0,0,2,0,-2,1,-2.54,5.08,-5,-1.13,0.4,-0.02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,320,140,2000,500,550,450
Bruno Silva,Gerald Meerschaert,-300,240,33.3333333333,240,2022-08-13,"San Diego, California, USA",USA,,False,Middleweight,MALE,3,1,0,0,3.04,0.44,1.8,2.25,0.4,3,7,32,0,0,0,0,1,8,0,9,Southpaw,185.42,195.58,185,1,0,0,4.94,0.51,0,0.89,0.18,3,1,8,0,0,0,0,3,0,0,3,Orthodox,182.88,187.96,185,33,34,0,0,0,6,6,24,0,-2,8,2.54,7.62,1,-1.9,1.8,1.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,400,650,1700,500,-150,1400
Angela Hill,Loopy Godinez,280,-360,280,27.7777777778,2022-08-13,"San Diego, California, USA",USA,,False,Catch Weight,MALE,3,0,2,0,2.23,0.57,0.9,5.37,0.46,2,2,13,0,0,0,2,0,1,0,3,Orthodox,157.48,154.94,115,3,0,0,5.34,0.49,0.1,0.59,0.31,3,12,57,0,0,0,6,2,0,0,8,Orthodox,160.02,162.56,115,37,28,-3,2,-1,-5,-10,-44,0,-2,1,-2.54,-7.62,-9,-3.11,0.8,4.78,1,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,350,-160,3500,500,1200,1000
Martin Buday,Lukasz Brzeski,-300,240,33.3333333333,240,2022-08-13,"San Diego, California, USA",USA,,False,Heavyweight,MALE,3,0,1,0,5.78,0.53,2.2,2.17,0.66,1,0,3,0,0,0,0,0,1,0,1,Orthodox,193.04,198.12,236,0,2,0,4.77,0.72,0,0,0,2,0,4,0,0,0,1,1,0,0,2,Orthodox,193.04,195.58,265,30,30,0,-1,-1,-1,0,-1,0,-1,1,0,2.54,0,1.01,2.2,2.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,260,500,700,1200,140,700
Cynthia Calvillo,Nina Nunes,-190,160,52.6315789474,160,2022-08-13,"San Diego, California, USA",USA,,False,Women's Flyweight,FEMALE,3,2,0,0,4.64,0.47,0.6,0.28,0.4,4,4,22,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,125,3,0,1,4.27,0.4,1,1.75,0.43,3,4,28,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,35,36,-1,0,1,-2,0,-6,0,0,-2,2.54,0,1,0.37,-0.4,-1.47,1,1,,5,5,,,,,,,,,,,,,,,7,,,,,,,,,,,Red,,,,,,150,200,350,2000,850,700
Gabriel Benitez,Charlie Ontiveros,-360,280,27.7777777778,280,2022-08-13,"San Diego, California, USA",USA,,False,Lightweight,MALE,3,2,0,0,0.7,0.32,0,0,0,0,2,3,0,0,0,0,0,0,0,0,Switch,187.96,187.96,155,2,0,0,4.6,0.4,1.1,0.14,0.5,2,6,25,0,0,0,2,2,2,0,6,Southpaw,172.72,180.34,155,34,31,0,0,-2,-6,-4,-22,0,-2,-2,15.24,7.62,-3,-3.9,-1.1,-0.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,500,925,700,2500,-160,400
