R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Alexander Volkov,Tom Aspinall,115,-135,115,74.0740740741,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Heavyweight,MALE,5,0,4,0,7.33,0.65,2,4.07,1,4,0,5,0,0,0,0,3,1,0,4,Orthodox,195.58,198.12,256,0,1,0,4.83,0.57,0.1,0.52,0.7,4,3,36,0,0,1,3,4,0,0,8,Orthodox,200.66,203.2,250,33,28,0,3,0,-4,-3,-31,0,-1,1,-5.08,-5.08,-5,2.5,1.9,3.55,1,1,13,5,,,,,5,,,,,,,,,,,,,13,,,,,,,,,Red,SUB,Straight Armbar,1,3:45,225,250,400,1600,700,350,200
Arnold Allen,Dan Hooker,-110,-110,90.9090909091,90.9090909091,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Featherweight,MALE,3,1,0,0,4.91,0.47,0.2,0.89,0.36,4,7,42,0,0,1,2,6,2,0,11,Switch,182.88,190.5,145,0,8,0,3.31,0.42,0.4,1.41,0.5,8,0,24,0,0,1,5,0,2,0,8,Southpaw,172.72,177.8,145,28,32,1,-8,-4,3,7,18,0,6,0,10.16,12.7,4,1.6,-0.2,-0.52,1,1,,6,,,,,,,,,,6,,,,,,,,,,,,8,,,,,Red,KO/TKO,Punches,1,2:33,153,188,225,1000,1000,600,350
Paddy Pimblett,Kazula Vargas,-625,450,16,450,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Lightweight,MALE,3,0,1,0,3.65,0.53,0.4,0.4,0.25,1,2,7,0,0,0,1,0,0,0,1,Southpaw,172.72,180.34,155,0,1,0,6.07,0.57,1.8,1.82,0.25,1,0,1,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,155,27,36,0,0,0,0,2,6,0,-1,0,-5.08,-5.08,9,-2.42,-1.4,-1.42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,3:49,229,333,1000,175,1200,170,900
Gunnar Nelson,Takashi Sato,-550,400,18.1818181818,400,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Welterweight,MALE,3,1,0,0,2.28,0.38,0,0.35,0.5,1,2,8,0,0,0,0,2,0,0,2,Southpaw,177.8,185.42,170,2,0,0,1.83,0.6,0.9,1.86,0.6,4,5,29,0,0,0,1,0,7,0,8,Switch,180.34,182.88,170,33,31,-1,0,-3,-6,-3,-21,0,2,-7,-2.54,2.54,-2,0.45,-0.9,-1.51,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,230,750,-135,3300,600,700
Molly McCann,Luana Carolina,-140,120,71.4285714286,120,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Women's Flyweight,FEMALE,3,0,2,0,4.64,0.5,1,0,0,2,1,13,0,0,1,3,0,0,0,4,Orthodox,167.64,175.26,125,0,1,0,5.83,0.5,0.6,1.79,0.36,3,3,20,0,0,0,4,0,0,0,4,Orthodox,162.56,157.48,125,31,28,0,1,-1,0,-2,-7,0,0,0,5.08,17.78,-3,-1.19,0.4,-1.79,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Elbow,3,1:52,712,120,175,1200,1200,900,800
Jai Herbert,Ilia Topuria,450,-625,450,16,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Lightweight,MALE,3,0,3,0,2.87,0.48,2.6,3.15,0.46,3,0,5,0,0,0,1,2,0,0,3,Orthodox,170.18,175.26,155,0,1,0,2.47,0.36,0,0,0,1,2,6,0,0,0,0,1,0,0,1,Orthodox,185.42,195.58,155,33,25,0,2,2,2,-2,-1,0,1,0,-15.24,-20.32,-8,0.4,2.6,3.15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,neither,KO/TKO,Punch,2,1:07,367,800,550,4000,110,650,225
Mike Grundy,Makwan Amirkhani,-270,220,37.037037037,220,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Featherweight,MALE,3,3,0,0,1.36,0.43,1.2,4.08,0.43,3,5,25,0,0,1,1,1,3,0,6,Southpaw,177.8,182.88,145,2,0,0,2.09,0.45,0.4,4.06,0.28,1,2,8,0,0,0,0,1,0,0,1,Orthodox,170.18,182.88,145,35,33,1,0,2,5,3,17,0,0,3,7.62,0,-2,-0.73,0.8,0.02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,1,0:57,57,125,300,500,550,650,1600
Shamil Abdurakhimov,Sergei Pavlovich,270,-340,270,29.4117647059,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Heavyweight,MALE,3,0,2,0,6.08,0.5,0,0,0,2,1,3,0,0,0,0,2,0,0,2,Southpaw,190.5,213.36,257,2,0,0,2.6,0.44,0.2,1.09,0.23,3,4,21,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,29,-2,2,-1,-3,-3,-18,0,0,0,0,20.32,-11,3.48,-0.2,-1.09,1,1,15,7,,,,,7,,,,,,,,,,,,,15,,,,,,,,,Red,KO/TKO,Punches,1,4:03,243,500,700,1200,3300,800,-200
Nikita Krylov,Paul Craig,-210,175,47.619047619,175,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Light Heavyweight,MALE,3,0,4,1,2.51,0.51,2,2.13,0.26,3,4,22,0,0,0,0,2,5,0,7,Orthodox,190.5,193.04,205,1,0,0,4.35,0.56,1.3,1.43,0.35,5,6,26,0,0,0,1,3,4,0,8,Orthodox,190.5,195.58,205,30,34,-1,4,-2,-1,-2,-4,0,-1,1,0,-2.54,4,-1.84,0.7,0.7,1,1,12,9,,,,,,9,,,,,,,,,,,,,12,,,,,,,,Red,SUB,Triangle Choke,1,3:57,237,300,550,550,325,275,800
Jack Shore,Timur Valiev,-140,120,71.4285714286,120,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Bantamweight,MALE,3,0,2,0,5.19,0.53,0.3,1.73,0.4,2,0,8,0,1,0,1,0,0,0,2,Orthodox,167.64,170.18,135,0,4,0,4.18,0.59,0.7,4.13,0.41,4,0,11,0,0,1,1,0,2,0,4,Orthodox,172.72,180.34,135,27,32,0,-2,-2,-2,0,-3,0,0,-2,-5.08,-10.16,5,1.01,-0.4,-2.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,225,,500,,900,
