R_fighter,B_fighter,R_prob,B_prob
Curtis Blaydes,Chris Daukaus,0.5,0.5
Joanne Wood,Alexa Grasso,0.5,0.5
Matt Brown,Bryan Barberena,0.5,0.5
Askar Askarov,Kai Kara-France,0.5,0.5
Ilir Latifi,Aleksei Oleinik,0.5,0.5
Marc Diakiese,Viacheslav Borshchev,0.5,0.5
Neil Magny,Max Griffin,0.5,0.5
Sara McMann,Karol Rosa,0.5,0.5
Chris Gutierrez,Batgerel Danaa,0.5,0.5
Aliaskhab Khizriev,Denis Tiuliulin,0.5,0.5
Jennifer Maia,Manon Fiorot,0.5,0.5
Matheus Nicolau,David Dvorak,0.5,0.5
Luis Saldana,Bruno Souza,0.5,0.5
