R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Curtis Blaydes,Chris Daukaus,-420,330,23.8095238095,330,2022-03-26,"Columbus, Ohio, USA",USA,,False,Heavyweight,MALE,5,1,0,0,7.71,0.53,0,0,0,4,1,6,0,0,0,0,4,0,0,4,Orthodox,190.5,193.04,250,0,1,0,3.44,0.51,0,6.27,0.53,5,3,35,0,0,0,5,5,0,0,10,Orthodox,193.04,203.2,265,31,32,1,-1,-1,-6,-2,-29,0,-1,0,-2.54,-10.16,1,4.27,0,-6.27,1,1,10,4,,,,,4,,,,,,,,,,,,,10,,,,,,,,,Red,,,,,,250,1200,800,1400,-110,400
Joanne Wood,Alexa Grasso,200,-240,200,41.6666666667,2022-03-26,"Columbus, Ohio, USA",USA,,False,Women's Flyweight,FEMALE,3,0,2,0,4.96,0.43,0.6,0.28,0.4,2,3,22,0,0,1,4,0,0,0,5,Orthodox,165.1,167.64,125,2,0,0,6.71,0.5,0.4,1.57,0.55,2,7,32,0,0,1,4,1,1,0,7,Orthodox,167.64,165.1,125,36,28,-2,2,0,-2,-4,-10,0,-1,-1,-2.54,2.54,-8,-1.75,0.2,-1.29,1,1,10,,,,,,,,,,,,,,,10,,,,,,,,,,,,,Blue,,,,,,340,-140,1000,700,900,650
Matt Brown,Bryan Barberena,-110,-110,90.9090909091,90.9090909091,2022-03-26,"Columbus, Ohio, USA",USA,,False,Welterweight,MALE,3,0,1,0,5.44,0.48,0.4,0.19,0.25,2,6,34,0,0,0,3,3,1,0,7,Southpaw,182.88,182.88,170,0,1,0,3.68,0.54,1.4,1.52,0.44,7,12,63,0,0,0,2,12,2,0,16,Orthodox,182.88,190.5,170,41,32,0,0,-5,-9,-6,-29,0,-9,-1,0,-7.62,-9,1.76,-1,-1.33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,450,260,1200,800,160,300
Askar Askarov,Kai Kara-France,-400,310,25,310,2022-03-26,"Columbus, Ohio, USA",USA,,False,Flyweight,MALE,3,0,2,0,5.09,0.4,0,0.51,0.23,3,2,19,0,0,1,3,2,0,0,6,Orthodox,162.56,175.26,125,0,3,1,3.37,0.55,0,2.75,0.28,3,0,12,0,0,0,3,0,0,0,3,Orthodox,167.64,170.18,125,29,29,0,-1,0,3,2,7,0,2,0,-5.08,5.08,0,1.72,0,-2.24,1,1,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,Red,,,,,,-120,550,330,2200,700,550
Ilir Latifi,Aleksei Oleinik,-200,170,50,170,2022-03-26,"Columbus, Ohio, USA",USA,,False,Heavyweight,MALE,3,3,0,0,3.55,0.5,2.2,2.16,0.46,2,7,25,0,0,1,0,1,6,0,8,Orthodox,187.96,203.2,240,0,1,0,1.84,0.39,0.4,2.02,0.34,3,6,28,0,0,1,2,3,2,0,8,Orthodox,177.8,185.42,230,39,44,3,-1,-1,0,1,-3,0,-2,4,10.16,17.78,5,1.71,1.8,0.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,190,650,1200,300,175,900
Marc Diakiese,Viacheslav Borshchev,135,-160,135,62.5,2022-03-26,"Columbus, Ohio, USA",USA,,False,Lightweight,MALE,3,0,2,0,6.16,0.64,0,0,0,2,0,3,0,0,0,0,2,0,0,2,Orthodox,180.34,175.26,155,2,0,0,3.06,0.38,0,2.13,0.35,3,5,25,0,0,0,3,2,0,0,5,Orthodox,177.8,185.42,155,29,30,-2,2,-1,-3,-5,-22,0,0,0,2.54,-10.16,1,3.1,0,-2.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,350,400,1400,2000,300,120
Neil Magny,Max Griffin,-240,200,41.6666666667,200,2022-03-26,"Columbus, Ohio, USA",USA,,False,Welterweight,MALE,3,0,3,0,4.35,0.49,0.4,1.63,0.53,3,6,32,0,1,0,2,3,0,0,6,Orthodox,180.34,193.04,170,0,1,0,3.67,0.46,0.3,2.44,0.42,7,7,69,0,0,1,11,5,1,0,18,Orthodox,190.5,203.2,170,34,36,0,2,-4,-12,-1,-37,0,-2,-1,-10.16,-10.16,2,0.68,0.1,-0.81,1,1,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,Red,,,,,,-120,400,750,1400,500,500
Sara McMann,Karol Rosa,180,-220,180,45.4545454545,2022-03-26,"Columbus, Ohio, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,4,0,7.88,0.54,0,1.5,0.5,4,0,12,0,0,1,3,0,0,0,4,Orthodox,165.1,170.18,135,1,0,0,2.32,0.45,0.5,4.41,0.65,5,6,37,1,0,1,5,1,3,0,10,Orthodox,167.64,167.64,135,41,27,-1,4,-1,-6,-6,-25,-1,-1,-3,-2.54,2.54,-14,5.56,-0.5,-2.91,1,1,15,9,,,,9,,,,,,,,,,,,,15,,,,,,,,,,Red,,,,,,350,130,700,400,1200,400
Chris Gutierrez,Batgerel Danaa,120,-140,120,71.4285714286,2022-03-26,"Columbus, Ohio, USA",USA,,False,Bantamweight,MALE,3,0,3,0,6.28,0.39,0,0,0,3,1,6,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,135,0,5,1,4.63,0.59,0.2,0.48,0.37,3,1,19,0,0,2,2,1,0,0,5,Orthodox,175.26,170.18,135,30,32,0,-2,0,-2,0,-13,0,2,0,-5.08,7.62,2,1.65,-0.2,-0.48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,210,,1100,,500,
Aliaskhab Khizriev,Denis Tiuliulin,-800,550,12.5,550,2022-03-26,"Columbus, Ohio, USA",USA,,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,0,1,0,6,0.83,18,18,0.5,1,0,1,0,0,0,0,0,1,0,1,Southpaw,175.26,187.96,185,31,33,0,-1,-1,-1,0,-1,0,0,-1,10.16,7.62,2,-6,-18,-18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,450,1400,-125,2200,300,500
